Series,V,A,Time,Concentration
RS_S03_INC-1,50,0.000298,64,8.89
RS_S03_INC-1,50,0.000298,66,8.91
RS_S03_INC-1,50,0.000298,68,8.77
RS_S03_INC-1,50,0.000298,70,8.98
RS_S03_INC-1,50,0.000298,72,8.91
RS_S03_INC-1,50,0.000298,74,8.88
RS_S03_INC-1,50,0.000298,76,8.91
RS_S03_INC-1,50,0.000298,78,8.96
RS_S03_INC-1,50,0.000298,80,8.87
RS_S03_INC-1,50,0.000298,82,8.82
RS_S03_INC-1,50,0.000298,84,8.9
RS_S03_INC-1,50,0.000298,86,8.86
RS_S03_INC-1,50,0.000298,88,8.83
RS_S03_INC-1,50,0.000298,90,8.94
RS_S03_INC-1,50,0.000298,92,8.89
RS_S03_INC-1,50,0.000298,94,8.8
RS_S03_INC-1,50,0.000298,96,8.87
RS_S03_INC-1,50,0.000298,98,8.87
RS_S03_INC-1,50,0.000298,100,8.85
RS_S03_INC-1,50,0.000298,102,8.88
RS_S03_INC-1,50,0.000298,104,8.9
RS_S03_INC-1,50,0.000298,106,8.84
RS_S03_INC-1,50,0.000298,108,8.84
RS_S03_INC-1,50,0.000298,110,8.86
RS_S04_INC-1,50,0.000298,0,9.09
RS_S04_INC-1,50,0.000298,2,7.54
RS_S04_INC-1,50,0.000298,4,7.81
RS_S04_INC-1,50,0.000298,6,7.54
RS_S04_INC-1,50,0.000298,8,7.93
RS_S04_INC-1,50,0.000298,10,7.5
RS_S04_INC-1,50,0.000298,12,7.46
RS_S04_INC-1,50,0.000298,14,7.57
RS_S04_INC-1,50,0.000298,16,7.48
RS_S04_INC-1,50,0.000298,18,7.42
RS_S04_INC-1,50,0.000298,20,7.38
RS_S04_INC-1,50,0.000298,22,7.33
RS_S04_INC-1,50,0.000298,24,7.38
RS_S04_INC-1,50,0.000298,26,7.34
RS_S04_INC-1,50,0.000298,28,7.27
RS_S04_INC-1,50,0.000298,30,7.45
RS_S04_INC-1,50,0.000298,32,7.4
RS_S04_INC-1,50,0.000298,34,7.42
RS_S04_INC-1,50,0.000298,36,7.39
RS_S04_INC-1,50,0.000298,38,7.18
